		Dry-bulb temperature (°C)	Total system energy (kBtu/h)	System natural gas (kBtu/h)	System electricity (kBtu/h)	Total lights energy (kBtu/h)	Lights electricity (kBtu/h)	Total equip energy (kBtu/h)	Equip electricity (kBtu/h)	Total CE ex equip (kgCO2/h)	Total system CE (kgCO2/h)	System nat. gas CE (kgCO2/h)
												
Date	Time	NewcastleEWY.fwt	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps
Sun, 01/Jan	24:00											
	00:15		7.460	7.325	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		7.465	7.330	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	5.50										
	01:15		7.468	7.333	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:45		7.467	7.331	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:00	5.50										
	02:15		7.465	7.330	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:45		7.464	7.329	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:00	5.50										
	03:15		7.463	7.328	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:45		7.463	7.327	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:00	5.50										
	04:15		7.462	7.327	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:45		7.461	7.326	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	5.50										
	05:15		7.471	7.336	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		7.493	7.358	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	5.30										
	06:15		7.518	7.382	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:45		7.542	7.407	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:00	5.10										
	07:15		7.561	7.425	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:45		7.574	7.439	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	08:00	5.00										
	08:15		7.579	7.444	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	08:45		7.537	7.402	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	09:00	4.90										
	09:15		6.905	6.770	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	09:45		6.915	6.780	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:00	4.90										
	10:15		6.977	6.841	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:45		7.066	6.931	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:00	4.40										
	11:15		7.162	7.027	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:45		7.262	7.126	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:00	3.80										
	12:15		7.339	7.204	0.135	0.000	0.000	4.132	4.132	0.4	0.5	0.4
	12:45		7.394	7.259	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.4
	13:00	3.60										
	13:15		7.457	7.322	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	13:45		7.530	7.395	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:00	3.20										
	14:15		7.581	7.446	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:45		7.609	7.474	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:00	3.20										
	15:15		7.647	7.511	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:45		7.698	7.562	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:00	3.00										
	16:15		7.720	7.585	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:45		7.710	7.575	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:00	3.30										
	17:15		7.701	7.565	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:45		7.693	7.558	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	18:00	3.50										
	18:15		7.127	6.992	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	18:45		7.101	6.966	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:00	3.60										
	19:15		7.074	6.939	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:45		7.051	6.916	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	20:00	3.70										
	20:15		7.035	6.899	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	20:45		7.038	6.903	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:00	3.80										
	21:15		7.057	6.921	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:45		7.083	6.947	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	22:00	3.70										
	22:15		7.943	7.808	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	22:45		7.877	7.742	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	23:00	3.70										
	23:15		7.962	7.827	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
	23:45		7.903	7.768	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
Mon, 02/Jan	24:00	4.00										
	00:15		7.980	7.845	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		7.964	7.828	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	4.10										
	01:15		7.948	7.813	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:45		7.935	7.800	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:00	4.20										
	02:15		7.918	7.782	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:45		7.894	7.759	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:00	4.40										
	03:15		7.870	7.734	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:45		7.846	7.710	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:00	4.60										
	04:15		7.849	7.713	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:45		7.880	7.745	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	4.30										
	05:15		7.892	7.757	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		7.883	7.748	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	4.40										
