DateTime,Dry-bulb temperature (°C),Total system energy (kBtu/h),System natural gas (kBtu/h),System electricity (kBtu/h),Total lights energy (kBtu/h),Lights electricity (kBtu/h),Total equip energy (kBtu/h),Equip electricity (kBtu/h),Total CE ex equip (kgCO2/h),Total system CE (kgCO2/h),System nat. gas CE (kgCO2/h)
01-01 00:15,5.50,7.460,7.325,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 00:45,5.50,7.465,7.330,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 01:15,5.50,7.468,7.333,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 01:45,5.50,7.467,7.331,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 02:15,5.50,7.465,7.330,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 02:45,5.50,7.464,7.329,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 03:15,5.50,7.463,7.328,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 03:45,5.50,7.463,7.327,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 04:15,5.50,7.462,7.327,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 04:45,5.50,7.461,7.326,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 05:15,5.30,7.471,7.336,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 05:45,5.30,7.493,7.358,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 06:15,5.10,7.518,7.382,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 06:45,5.10,7.542,7.407,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 07:15,5.00,7.561,7.425,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 07:45,5.00,7.574,7.439,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-01 08:15,4.90,7.579,7.444,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-01 08:45,4.90,7.537,7.402,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-01 09:15,4.90,6.905,6.770,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-01 09:45,4.90,6.915,6.780,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-01 10:15,4.40,6.977,6.841,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-01 10:45,4.40,7.066,6.931,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-01 11:15,3.80,7.162,7.027,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-01 11:45,3.80,7.262,7.126,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-01 12:15,3.60,7.339,7.204,0.135,0.000,0.000,4.132,4.132,0.4,0.5,0.4
01-01 12:45,3.60,7.394,7.259,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.4
01-01 13:15,3.20,7.457,7.322,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 13:45,3.20,7.530,7.395,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 14:15,3.20,7.581,7.446,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 14:45,3.20,7.609,7.474,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 15:15,3.00,7.647,7.511,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 15:45,3.00,7.698,7.562,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 16:15,3.30,7.720,7.585,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 16:45,3.30,7.710,7.575,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 17:15,3.50,7.701,7.565,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 17:45,3.50,7.693,7.558,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-01 18:15,3.60,7.127,6.992,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-01 18:45,3.60,7.101,6.966,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-01 19:15,3.70,7.074,6.939,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-01 19:45,3.70,7.051,6.916,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-01 20:15,3.80,7.035,6.899,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-01 20:45,3.80,7.038,6.903,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-01 21:15,3.70,7.057,6.921,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-01 21:45,3.70,7.083,6.947,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-01 22:15,3.70,7.943,7.808,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-01 22:45,3.70,7.877,7.742,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-01 23:15,4.00,7.962,7.827,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-01 23:45,4.00,7.903,7.768,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-02 00:15,4.10,7.980,7.845,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 00:45,4.10,7.964,7.828,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 01:15,4.20,7.948,7.813,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 01:45,4.20,7.935,7.800,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 02:15,4.40,7.918,7.782,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 02:45,4.40,7.894,7.759,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
