DateTime,System elec. CE (kgCO2/h),Total lights CE (kgCO2/h),Lights elec. CE (kgCO2/h),Total equip CE (kgCO2/h),Equip elec. CE (kgCO2/h),Room heating plant sens. load (kW),Wet-bulb temperature (°C),External dew-point temp. (°C),Room hum. plant load (kW),Daily running mean temp. (°C),System air heating load (kW)
01-01 00:15,0.0,0.0,0.0,0.1,0.1,0.6181,3.70,1.38,0.0000,5.65,0.0000
01-01 00:45,0.0,0.0,0.0,0.1,0.1,0.6194,3.70,1.38,0.0000,5.65,0.0000
01-01 01:15,0.0,0.0,0.0,0.1,0.1,0.6200,3.70,1.38,0.0000,5.65,0.0000
01-01 01:45,0.0,0.0,0.0,0.1,0.1,0.6196,3.70,1.38,0.0000,5.65,0.0000
01-01 02:15,0.0,0.0,0.0,0.1,0.1,0.6194,3.70,1.38,0.0000,5.65,0.0000
01-01 02:45,0.0,0.0,0.0,0.1,0.1,0.6191,3.70,1.38,0.0000,5.65,0.0000
01-01 03:15,0.0,0.0,0.0,0.1,0.1,0.6189,3.50,0.87,0.0000,5.65,0.0000
01-01 03:45,0.0,0.0,0.0,0.1,0.1,0.6187,3.50,0.87,0.0000,5.65,0.0000
01-01 04:15,0.0,0.0,0.0,0.1,0.1,0.6187,3.90,1.89,0.0000,5.65,0.0000
01-01 04:45,0.0,0.0,0.0,0.1,0.1,0.6184,3.90,1.89,0.0000,5.65,0.0000
01-01 05:15,0.0,0.0,0.0,0.1,0.1,0.6207,3.40,0.90,0.0000,5.65,0.0000
01-01 05:45,0.0,0.0,0.0,0.1,0.1,0.6260,3.40,0.90,0.0000,5.65,0.0000
01-01 06:15,0.0,0.0,0.0,0.1,0.1,0.6316,3.20,0.66,0.0000,5.65,0.0000
01-01 06:45,0.0,0.0,0.0,0.1,0.1,0.6373,3.20,0.66,0.0000,5.65,0.0000
01-01 07:15,0.0,0.0,0.0,0.1,0.1,0.6417,3.30,1.07,0.0000,5.65,0.0000
01-01 07:45,0.0,0.0,0.0,0.1,0.1,0.6448,3.30,1.07,0.0000,5.65,0.0000
01-01 08:15,0.0,0.0,0.0,0.2,0.2,0.6460,2.90,0.16,0.0000,5.65,0.0000
01-01 08:45,0.0,0.0,0.0,0.2,0.2,0.6361,2.90,0.16,0.0000,5.65,0.0000
01-01 09:15,0.0,0.0,0.0,0.2,0.2,0.4880,3.20,0.95,0.0000,5.65,0.0000
01-01 09:45,0.0,0.0,0.0,0.2,0.2,0.4904,3.20,0.95,0.0000,5.65,0.0000
