DateTime,Aux vent heating load (kW),Max. adaptive temp. (°C),Wind speed (m/s),Wind direction[E of N] (deg.),Boilers load (kW),Direct radiation (W/m²),Ap Sys boilers load (kW),Boilers energy (kBtu/h),Diffuse radiation (W/m²),Global radiation (W/m²),Solar altitude (deg.)
01-01 00:15,0.0000,23.67,6.00,120.0,1.9105,0.000,1.9105,7.325,0.000,0.000,0.0
01-01 00:45,0.0000,23.67,6.00,120.0,1.9119,0.000,1.9119,7.330,0.000,0.000,0.0
01-01 01:15,0.0000,23.67,6.50,120.0,1.9126,0.000,1.9126,7.333,0.000,0.000,0.0
01-01 01:45,0.0000,23.67,6.50,120.0,1.9122,0.000,1.9122,7.331,0.000,0.000,0.0
01-01 02:15,0.0000,23.67,6.50,120.0,1.9120,0.000,1.9120,7.330,0.000,0.000,0.0
01-01 02:45,0.0000,23.67,6.50,120.0,1.9116,0.000,1.9116,7.329,0.000,0.000,0.0
01-01 03:15,0.0000,23.67,7.10,130.0,1.9114,0.000,1.9114,7.328,0.000,0.000,0.0
01-01 03:45,0.0000,23.67,7.10,130.0,1.9112,0.000,1.9112,7.327,0.000,0.000,0.0
01-01 04:15,0.0000,23.67,8.10,130.0,1.9111,0.000,1.9111,7.327,0.000,0.000,0.0
01-01 04:45,0.0000,23.67,8.10,130.0,1.9108,0.000,1.9108,7.326,0.000,0.000,0.0
01-01 05:15,0.0000,23.67,9.10,130.0,1.9134,0.000,1.9134,7.336,0.000,0.000,0.0
01-01 05:45,0.0000,23.67,9.10,130.0,1.9192,0.000,1.9192,7.358,0.000,0.000,0.0
01-01 06:15,0.0000,23.67,9.60,130.0,1.9256,0.000,1.9256,7.382,0.000,0.000,0.0
01-01 06:45,0.0000,23.67,9.60,130.0,1.9319,0.000,1.9319,7.407,0.000,0.000,0.0
01-01 07:15,0.0000,23.67,10.60,120.0,1.9368,0.000,1.9368,7.425,0.000,0.000,0.0
01-01 07:45,0.0000,23.67,10.60,120.0,1.9402,0.000,1.9402,7.439,0.000,0.000,0.0
01-01 08:15,0.0000,23.67,10.60,130.0,1.9416,0.000,1.9416,7.444,5.000,5.000,2.0
01-01 08:45,0.0000,23.67,10.60,130.0,1.9306,0.000,1.9306,7.402,5.000,5.000,2.0
01-01 09:15,0.0000,23.67,11.10,130.0,1.7657,0.000,1.7657,6.770,12.000,12.000,7.0
01-01 09:45,0.0000,23.67,11.10,130.0,1.7684,0.000,1.7684,6.780,12.000,12.000,7.0
01-01 10:15,0.0000,23.67,11.60,130.0,1.7845,0.000,1.7845,6.841,14.000,14.000,10.3
01-01 10:45,0.0000,23.67,11.60,130.0,1.8079,0.000,1.8079,6.931,14.000,14.000,10.3
01-01 11:15,0.0000,23.67,11.60,140.0,1.8328,0.000,1.8328,7.027,16.000,16.000,11.7
01-01 11:45,0.0000,23.67,11.60,140.0,1.8588,0.000,1.8588,7.126,16.000,16.000,11.7
01-01 12:15,0.0000,23.67,11.60,130.0,1.8791,0.000,1.8791,7.204,16.000,16.000,11.0
01-01 12:45,0.0000,23.67,11.60,130.0,1.8933,0.000,1.8933,7.259,16.000,16.000,11.0
01-01 13:15,0.0000,23.67,12.10,120.0,1.9097,0.000,1.9097,7.322,14.000,14.000,8.2
01-01 13:45,0.0000,23.67,12.10,120.0,1.9288,0.000,1.9288,7.395,14.000,14.000,8.2
01-01 14:15,0.0000,23.67,12.10,120.0,1.9422,0.000,1.9422,7.446,12.000,12.000,3.7
01-01 14:45,0.0000,23.67,12.10,120.0,1.9495,0.000,1.9495,7.474,12.000,12.000,3.7
01-01 15:15,0.0000,23.67,11.60,120.0,1.9592,0.000,1.9592,7.511,0.000,0.000,0.0
01-01 15:45,0.0000,23.67,11.60,120.0,1.9725,0.000,1.9725,7.562,0.000,0.000,0.0
01-01 16:15,0.0000,23.67,12.10,120.0,1.9785,0.000,1.9785,7.585,0.000,0.000,0.0
