DateTime,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
01-01 00:15,7.325,0.6876,21.2,1.2229,2.636,8.00,4.688,101090,74.7,0.00420,0.0
01-01 00:45,7.330,0.6890,21.2,1.2229,2.642,8.00,4.688,101090,74.7,0.00420,0.0
01-01 01:15,7.333,0.6897,43.5,1.2229,2.644,7.99,4.688,101070,74.7,0.00420,0.0
01-01 01:45,7.331,0.6893,43.5,1.2229,2.643,7.99,4.688,101070,74.7,0.00420,0.0
01-01 02:15,7.330,0.6891,61.6,1.2229,2.642,8.00,4.688,101030,74.7,0.00420,0.0
01-01 02:45,7.329,0.6888,61.6,1.2229,2.641,8.00,4.688,101030,74.7,0.00420,0.0
01-01 03:15,7.328,0.6885,76.6,1.2229,2.640,8.00,4.688,101000,72.0,0.00405,0.0
01-01 03:45,7.327,0.6883,76.6,1.2229,2.639,8.00,4.688,101000,72.0,0.00405,0.0
01-01 04:15,7.327,0.6883,89.7,1.2229,2.639,8.00,4.688,100950,77.5,0.00436,0.0
01-01 04:45,7.326,0.6879,89.7,1.2229,2.637,8.00,4.688,100950,77.5,0.00436,0.0
01-01 05:15,7.336,0.6905,101.7,1.2229,2.647,8.00,4.688,100880,73.2,0.00406,0.0
01-01 05:45,7.358,0.6964,101.7,1.2229,2.670,8.00,4.688,100880,73.2,0.00406,0.0
01-01 06:15,7.382,0.7027,113.3,1.2229,2.694,8.00,4.688,100830,73.0,0.00399,0.0
01-01 06:45,7.407,0.7090,113.3,1.2229,2.718,8.00,4.688,100830,73.0,0.00399,0.0
01-01 07:15,7.425,0.7139,125.1,1.2229,2.737,8.00,4.688,100750,75.7,0.00412,0.0
01-01 07:45,7.439,0.7174,125.1,1.2229,2.750,8.00,4.688,100750,75.7,0.00412,0.0
01-01 08:15,7.444,0.7187,137.3,1.2229,2.755,8.00,4.688,100690,71.4,0.00386,-0.0
01-01 08:45,7.402,0.7077,137.3,1.2229,2.713,8.00,4.688,100690,71.4,0.00386,-0.0
01-01 09:15,6.770,0.5429,150.2,1.2229,2.081,8.00,4.688,100590,75.6,0.00409,-0.0
01-01 09:45,6.780,0.5455,150.2,1.2229,2.092,8.00,4.688,100590,75.6,0.00409,-0.0
01-01 10:15,6.841,0.5616,163.8,1.2229,2.153,8.00,4.688,100490,82.3,0.00431,-0.0
01-01 10:45,6.931,0.5850,163.8,1.2229,2.243,8.00,4.688,100490,82.3,0.00431,-0.0
01-01 11:15,7.027,0.6099,177.8,1.2229,2.338,7.99,4.688,100420,89.3,0.00449,-0.0
01-01 11:45,7.126,0.6360,177.8,1.2229,2.438,7.99,4.688,100420,89.3,0.00449,-0.0
01-01 12:15,7.204,0.6562,191.9,1.2229,2.516,7.99,4.688,100270,92.3,0.00458,-0.0
01-01 12:45,7.259,0.6704,191.9,1.2229,2.570,7.99,4.688,100270,92.3,0.00458,-0.0
01-01 13:15,7.322,0.6868,205.6,1.2229,2.633,7.99,4.688,100170,92.2,0.00445,-0.0
01-01 13:45,7.395,0.7059,205.6,1.2229,2.706,7.99,4.688,100170,92.2,0.00445,-0.0
01-01 14:15,7.446,0.7193,218.7,1.2229,2.758,7.99,4.688,100070,92.2,0.00445,-0.0
01-01 14:45,7.474,0.7266,218.7,1.2229,2.786,7.99,4.688,100070,92.2,0.00445,-0.0
01-01 15:15,7.511,0.7364,231.2,1.2229,2.823,7.99,4.688,99970,93.7,0.00447,-0.0
01-01 15:45,7.562,0.7496,231.2,1.2229,2.874,7.99,4.688,99970,93.7,0.00447,-0.0
01-01 16:15,7.585,0.7556,243.0,1.2229,2.897,7.99,4.688,99870,92.2,0.00450,0.0
01-01 16:45,7.575,0.7530,243.0,1.2229,2.887,7.99,4.688,99870,92.2,0.00450,0.0
01-01 17:15,7.565,0.7504,254.7,1.2229,2.877,8.00,4.688,99760,92.3,0.00457,0.0
01-01 17:45,7.558,0.7484,254.7,1.2229,2.869,8.00,4.688,99760,92.3,0.00457,0.0
01-01 18:15,6.992,0.6007,266.5,1.2229,2.303,8.00,4.688,99690,92.3,0.00461,0.0
01-01 18:45,6.966,0.5940,266.5,1.2229,2.277,8.00,4.688,99690,92.3,0.00461,0.0
01-01 19:15,6.939,0.5869,279.1,1.2229,2.250,7.99,4.688,99620,90.8,0.00457,0.0
01-01 19:45,6.916,0.5810,279.1,1.2229,2.227,7.99,4.688,99620,90.8,0.00457,0.0
01-01 20:15,6.899,0.5767,293.4,1.2229,2.211,8.00,4.688,99610,90.9,0.00460,0.0
01-01 20:45,6.903,0.5777,293.4,1.2229,2.215,8.00,4.688,99610,90.9,0.00460,0.0
01-01 21:15,6.921,0.5824,310.4,1.2229,2.233,8.00,4.688,99650,92.4,0.00464,0.0
01-01 21:45,6.947,0.5892,310.4,1.2229,2.259,8.00,4.688,99650,92.4,0.00464,0.0
01-01 22:15,7.808,0.8136,331.3,1.2229,3.119,8.00,4.688,99690,92.4,0.00464,0.0
01-01 22:45,7.742,0.7965,331.3,1.2229,3.054,8.00,4.688,99690,92.4,0.00464,0.0
01-01 23:15,7.827,0.8187,356.0,1.2229,3.139,7.99,4.688,99770,89.5,0.00459,0.0
01-01 23:45,7.768,0.8032,356.0,1.2229,3.079,7.99,4.688,99770,89.5,0.00459,0.0
01-02 00:15,7.845,0.8234,21.0,1.2229,3.157,8.00,4.688,99840,89.5,0.00462,0.0
01-02 00:45,7.828,0.8190,21.0,1.2229,3.140,8.00,4.688,99840,89.5,0.00462,0.0
01-02 01:15,7.813,0.8151,43.3,1.2229,3.125,8.00,4.688,99910,89.5,0.00465,0.0
01-02 01:45,7.800,0.8116,43.3,1.2229,3.112,8.00,4.688,99910,89.5,0.00465,0.0
01-02 02:15,7.782,0.8070,61.5,1.2229,3.094,8.00,4.688,100060,92.6,0.00487,0.0
01-02 02:45,7.759,0.8008,61.5,1.2229,3.070,8.00,4.688,100060,92.6,0.00487,0.0
01-02 03:15,7.734,0.7945,76.5,1.2229,3.046,8.00,4.688,100140,91.2,0.00486,0.0
01-02 03:45,7.710,0.7882,76.5,1.2229,3.022,8.00,4.688,100140,91.2,0.00486,0.0
01-02 04:15,7.713,0.7890,89.5,1.2229,3.025,8.00,4.688,100260,91.0,0.00475,0.0
01-02 04:45,7.745,0.7972,89.5,1.2229,3.056,8.00,4.688,100260,91.0,0.00475,0.0
01-02 05:15,7.757,0.8003,101.5,1.2229,3.068,8.00,4.688,100430,88.1,0.00462,0.0
01-02 05:45,7.748,0.7980,101.5,1.2229,3.059,8.00,4.688,100430,88.1,0.00462,0.0
01-02 06:15,7.753,0.7995,113.2,1.2229,3.065,8.00,4.688,100600,86.5,0.00446,0.0
01-02 06:45,7.775,0.8050,113.2,1.2229,3.086,8.00,4.688,100600,86.5,0.00446,0.0
01-02 07:15,7.808,0.8136,124.9,1.2229,3.119,8.00,4.688,100830,89.3,0.00447,0.0
01-02 07:45,7.853,0.8254,124.9,1.2229,3.165,8.00,4.688,100830,89.3,0.00447,0.0
01-02 08:15,7.882,0.8329,137.2,1.2229,3.193,8.00,4.688,101030,87.7,0.00431,-0.0
01-02 08:45,7.852,0.8252,137.2,1.2229,3.164,8.00,4.688,101030,87.7,0.00431,-0.0
01-02 09:15,7.171,0.6475,150.1,1.2229,2.482,8.00,4.688,101210,80.8,0.00420,-0.0
01-02 09:45,7.074,0.6222,150.1,1.2229,2.385,8.00,4.688,101210,80.8,0.00420,-0.0
01-02 10:15,7.037,0.6126,163.7,1.2229,2.348,7.00,4.688,101410,76.4,0.00396,-0.0
01-02 10:45,7.045,0.6147,163.7,1.2229,2.357,7.00,4.688,101410,76.4,0.00396,-0.0
01-02 11:15,7.009,0.6052,177.7,1.2229,2.320,3.00,4.688,101580,68.4,0.00367,-0.0
01-02 11:45,6.889,0.5739,177.7,1.2229,2.200,3.00,4.688,101580,68.4,0.00367,-0.0
01-02 12:15,6.858,0.5660,191.8,1.2229,2.170,2.00,4.688,101700,64.2,0.00320,-0.0
01-02 12:45,7.017,0.6075,191.8,1.2229,2.329,2.00,4.688,101700,64.2,0.00320,-0.0
01-02 13:15,7.118,0.6338,205.5,1.2229,2.430,2.00,4.688,101860,61.4,0.00308,-0.0
01-02 13:45,7.050,0.6160,205.5,1.2229,2.362,2.00,4.688,101860,61.4,0.00308,-0.0
01-02 14:15,7.017,0.6075,218.6,1.2229,2.329,2.00,4.688,102030,70.0,0.00351,-0.0
01-02 14:45,7.131,0.6372,218.6,1.2229,2.443,2.00,4.688,102030,70.0,0.00351,-0.0
01-02 15:15,7.289,0.6784,231.1,1.2229,2.601,1.00,4.688,102160,69.1,0.00329,-0.0
01-02 15:45,7.451,0.7206,231.1,1.2229,2.763,1.00,4.688,102160,69.1,0.00329,-0.0
01-02 16:15,7.541,0.7440,243.0,1.2229,2.852,2.00,4.688,102280,64.9,0.00313,0.0
01-02 16:45,7.578,0.7537,243.0,1.2229,2.890,2.00,4.688,102280,64.9,0.00313,0.0
01-02 17:15,7.614,0.7631,254.6,1.2229,2.926,2.00,4.688,102380,64.9,0.00312,0.0
01-02 17:45,7.652,0.7730,254.6,1.2229,2.964,2.00,4.688,102380,64.9,0.00312,0.0
01-02 18:15,7.125,0.6355,266.5,1.2229,2.436,1.00,4.688,102460,61.9,0.00298,0.0
01-02 18:45,7.132,0.6374,266.5,1.2229,2.444,1.00,4.688,102460,61.9,0.00298,0.0
01-02 19:15,7.173,0.6480,279.1,1.2229,2.484,6.00,4.688,102540,71.4,0.00327,0.0
01-02 19:45,7.249,0.6680,279.1,1.2229,2.561,6.00,4.688,102540,71.4,0.00327,0.0
01-02 20:15,7.305,0.6826,293.3,1.2229,2.617,3.99,4.688,102620,68.1,0.00307,0.0
01-02 20:45,7.360,0.6968,293.3,1.2229,2.671,3.99,4.688,102620,68.1,0.00307,0.0
01-02 21:15,7.446,0.7192,310.3,1.2229,2.757,7.00,4.688,102710,80.0,0.00343,0.0
01-02 21:45,7.551,0.7468,310.3,1.2229,2.863,7.00,4.688,102710,80.0,0.00343,0.0
01-02 22:15,8.465,0.9852,331.2,1.2229,3.777,2.00,4.688,102750,75.0,0.00319,0.0
01-02 22:45,8.435,0.9773,331.2,1.2229,3.747,2.00,4.688,102750,75.0,0.00319,0.0
01-02 23:15,8.602,1.0208,355.8,1.2229,3.914,3.00,4.688,102810,80.3,0.00322,0.0
