		System grid displaced elec. PV (kBtu/h)	Total grid disp. elec. PV CE (kgCO2/h)	Total CE (kgCO2/h)	Electricity (mu)	Gas (mu)	Renewables (mu)	Total nat. gas (kBtu/h)	Total electricity (kBtu/h)	Total grid displaced elec. PV (kBtu/h)	Total energy (kBtu/h)	Transformer Losses (kBtu/h)
												
Date	Time	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps
Sun, 01/Jan	00:15	0.000	0.0	0.6	0.06	0.03	0.00	7.325	3.048	0.000	10.372	0.000
	00:45	0.000	0.0	0.6	0.06	0.03	0.00	7.330	3.048	0.000	10.378	0.000
	01:15	0.000	0.0	0.6	0.06	0.03	0.00	7.333	3.048	0.000	10.380	0.000
	01:45	0.000	0.0	0.6	0.06	0.03	0.00	7.331	3.048	0.000	10.379	0.000
	02:15	0.000	0.0	0.6	0.06	0.03	0.00	7.330	3.048	0.000	10.378	0.000
	02:45	0.000	0.0	0.6	0.06	0.03	0.00	7.329	3.048	0.000	10.377	0.000
	03:15	0.000	0.0	0.6	0.06	0.03	0.00	7.328	3.048	0.000	10.375	0.000
	03:45	0.000	0.0	0.6	0.06	0.03	0.00	7.327	3.048	0.000	10.375	0.000
	04:15	0.000	0.0	0.6	0.06	0.03	0.00	7.327	3.048	0.000	10.375	0.000
	04:45	0.000	0.0	0.6	0.06	0.03	0.00	7.326	3.048	0.000	10.373	0.000
	05:15	0.000	0.0	0.6	0.06	0.03	0.00	7.336	3.048	0.000	10.383	0.000
	05:45	0.000	0.0	0.6	0.06	0.03	0.00	7.358	3.048	0.000	10.406	0.000
	06:15	0.000	0.0	0.6	0.06	0.03	0.00	7.382	3.048	0.000	10.430	0.000
	06:45	0.000	0.0	0.6	0.06	0.03	0.00	7.407	3.048	0.000	10.454	0.000
	07:15	0.000	0.0	0.6	0.06	0.03	0.00	7.425	3.048	0.000	10.473	0.000
	07:45	0.000	0.0	0.6	0.06	0.03	0.00	7.439	3.048	0.000	10.486	0.000
	08:15	-0.001	-0.0	0.7	0.06	0.03	0.00	7.444	5.068	-0.001	12.511	0.000
	08:45	-0.002	-0.0	0.7	0.06	0.03	0.00	7.402	5.068	-0.002	12.468	0.000
	09:15	-0.003	-0.0	0.6	0.06	0.03	0.00	6.770	4.267	-0.003	11.034	0.000
	09:45	-0.004	-0.0	0.6	0.06	0.03	0.00	6.780	4.267	-0.004	11.043	0.000
	10:15	-0.005	-0.0	0.6	0.06	0.03	0.00	6.841	4.267	-0.005	11.104	0.000
	10:45	-0.005	-0.0	0.6	0.06	0.03	0.00	6.931	4.267	-0.005	11.193	0.000
	11:15	-0.006	-0.0	0.6	0.06	0.03	0.00	7.027	4.267	-0.006	11.288	0.000
	11:45	-0.006	-0.0	0.6	0.06	0.03	0.00	7.126	4.267	-0.006	11.388	0.000
	12:15	-0.007	-0.0	0.6	0.06	0.03	0.00	7.204	4.267	-0.007	11.465	0.000
	12:45	-0.007	-0.0	0.7	0.06	0.03	0.00	7.259	4.267	-0.007	11.520	0.000
	13:15	-0.006	-0.0	0.7	0.06	0.03	0.00	7.322	4.267	-0.006	11.583	0.000
	13:45	-0.006	-0.0	0.7	0.06	0.03	0.00	7.395	4.267	-0.006	11.656	0.000
	14:15	-0.006	-0.0	0.7	0.06	0.03	0.00	7.446	4.267	-0.006	11.708	0.000
	14:45	-0.005	-0.0	0.7	0.06	0.03	0.00	7.474	4.267	-0.005	11.736	0.000
	15:15	-0.004	-0.0	0.7	0.06	0.03	0.00	7.511	4.267	-0.004	11.775	0.000
	15:45	-0.001	-0.0	0.7	0.06	0.03	0.00	7.562	4.267	-0.001	11.828	0.000
	16:15	0.000	0.0	0.7	0.06	0.03	0.00	7.585	4.267	0.000	11.853	0.000
	16:45	0.000	0.0	0.7	0.06	0.03	0.00	7.575	4.267	0.000	11.843	0.000
	17:15	0.000	0.0	0.7	0.06	0.03	0.00	7.565	4.267	0.000	11.833	0.000
	17:45	0.000	0.0	0.7	0.06	0.03	0.00	7.558	4.267	0.000	11.825	0.000
	18:15	0.000	0.0	0.7	0.06	0.03	0.00	6.992	5.919	0.000	12.910	0.000
	18:45	0.000	0.0	0.7	0.06	0.03	0.00	6.966	5.919	0.000	12.885	0.000
	19:15	0.000	0.0	0.7	0.06	0.03	0.00	6.939	5.919	0.000	12.858	0.000
	19:45	0.000	0.0	0.7	0.06	0.03	0.00	6.916	5.919	0.000	12.835	0.000
	20:15	0.000	0.0	0.7	0.06	0.03	0.00	6.899	5.069	0.000	11.969	0.000
	20:45	0.000	0.0	0.7	0.06	0.03	0.00	6.903	5.069	0.000	11.972	0.000
	21:15	0.000	0.0	0.7	0.06	0.03	0.00	6.921	5.069	0.000	11.990	0.000
	21:45	0.000	0.0	0.7	0.06	0.03	0.00	6.947	5.069	0.000	12.017	0.000
	22:15	0.000	0.0	0.8	0.06	0.03	0.00	7.808	5.649	0.000	13.457	0.000
	22:45	0.000	0.0	0.7	0.06	0.03	0.00	7.742	5.649	0.000	13.392	0.000
	23:15	0.000	0.0	0.6	0.06	0.03	0.00	7.827	3.135	0.000	10.962	0.000
	23:45	0.000	0.0	0.6	0.06	0.03	0.00	7.768	3.135	0.000	10.902	0.000
Mon, 02/Jan	00:15	0.000	0.0	0.6	0.06	0.03	0.00	7.845	3.048	0.000	10.893	0.000
	00:45	0.000	0.0	0.6	0.06	0.03	0.00	7.828	3.048	0.000	10.876	0.000
	01:15	0.000	0.0	0.6	0.06	0.03	0.00	7.813	3.048	0.000	10.861	0.000
	01:45	0.000	0.0	0.6	0.06	0.03	0.00	7.800	3.048	0.000	10.848	0.000
	02:15	0.000	0.0	0.6	0.06	0.03	0.00	7.782	3.048	0.000	10.830	0.000
	02:45	0.000	0.0	0.6	0.06	0.03	0.00	7.759	3.048	0.000	10.806	0.000
	03:15	0.000	0.0	0.6	0.06	0.03	0.00	7.734	3.048	0.000	10.782	0.000
	03:45	0.000	0.0	0.6	0.06	0.03	0.00	7.710	3.048	0.000	10.758	0.000
	04:15	0.000	0.0	0.6	0.06	0.03	0.00	7.713	3.048	0.000	10.761	0.000
	04:45	0.000	0.0	0.6	0.06	0.03	0.00	7.745	3.048	0.000	10.792	0.000
	05:15	0.000	0.0	0.6	0.06	0.03	0.00	7.757	3.048	0.000	10.804	0.000
	05:45	0.000	0.0	0.6	0.06	0.03	0.00	7.748	3.048	0.000	10.795	0.000
	06:15	0.000	0.0	0.6	0.06	0.03	0.00	7.753	3.048	0.000	10.801	0.000
	06:45	0.000	0.0	0.6	0.06	0.03	0.00	7.775	3.048	0.000	10.822	0.000
	07:15	0.000	0.0	0.6	0.10	0.03	0.00	7.808	3.048	0.000	10.855	0.000
	07:45	0.000	0.0	0.6	0.10	0.03	0.00	7.853	3.048	0.000	10.900	0.000
	08:15	-0.000	-0.0	0.7	0.10	0.03	0.00	7.882	5.068	-0.000	12.949	0.000
	08:45	-0.001	-0.0	0.7	0.10	0.03	0.00	7.852	5.068	-0.001	12.919	0.000
	09:15	-0.005	-0.0	0.6	0.10	0.03	0.00	7.171	4.267	-0.005	11.433	0.000
	09:45	-0.014	-0.0	0.6	0.10	0.03	0.00	7.074	4.267	-0.014	11.327	0.000
	10:15	-0.020	-0.0	0.6	0.10	0.03	0.00	7.037	4.267	-0.020	11.284	0.000
	10:45	-0.023	-0.0	0.6	0.10	0.03	0.00	7.045	4.267	-0.023	11.290	0.000
	11:15	-0.035	-0.0	0.6	0.10	0.03	0.00	7.009	4.267	-0.035	11.241	0.000
	11:45	-0.058	-0.0	0.6	0.10	0.03	0.00	6.889	4.267	-0.058	11.098	0.000
	12:15	-0.059	-0.0	0.6	0.10	0.03	0.00	6.858	4.267	-0.059	11.067	0.000
	12:45	-0.039	-0.0	0.6	0.10	0.03	0.00	7.017	4.267	-0.039	11.246	0.000
	13:15	-0.036	-0.0	0.6	0.10	0.03	0.00	7.118	4.267	-0.036	11.350	0.000
	13:45	-0.048	-0.0	0.6	0.10	0.03	0.00	7.050	4.267	-0.048	11.270	0.000
	14:15	-0.042	-0.0	0.6	0.10	0.03	0.00	7.017	4.267	-0.042	11.243	0.000
	14:45	-0.021	-0.0	0.6	0.10	0.03	0.00	7.131	4.267	-0.021	11.378	0.000
	15:15	-0.009	-0.0	0.7	0.10	0.03	0.00	7.289	4.267	-0.009	11.548	0.000
	15:45	-0.003	-0.0	0.7	0.10	0.03	0.00	7.451	4.267	-0.003	11.716	0.000
	16:15	0.000	0.0	0.7	0.10	0.03	0.00	7.541	4.267	0.000	11.808	0.000
	16:45	0.000	0.0	0.7	0.10	0.03	0.00	7.578	4.267	0.000	11.845	0.000
	17:15	0.000	0.0	0.7	0.10	0.03	0.00	7.614	4.267	0.000	11.881	0.000
	17:45	0.000	0.0	0.7	0.10	0.03	0.00	7.652	4.267	0.000	11.919	0.000
	18:15	0.000	0.0	0.7	0.10	0.03	0.00	7.125	5.919	0.000	13.044	0.000
	18:45	0.000	0.0	0.7	0.10	0.03	0.00	7.132	5.919	0.000	13.051	0.000
	19:15	0.000	0.0	0.7	0.10	0.03	0.00	7.173	5.919	0.000	13.091	0.000
	19:45	0.000	0.0	0.7	0.10	0.03	0.00	7.249	5.919	0.000	13.168	0.000
	20:15	0.000	0.0	0.7	0.10	0.03	0.00	7.305	5.069	0.000	12.375	0.000
	20:45	0.000	0.0	0.7	0.10	0.03	0.00	7.360	5.069	0.000	12.429	0.000
	21:15	0.000	0.0	0.7	0.10	0.03	0.00	7.446	5.069	0.000	12.515	0.000
	21:45	0.000	0.0	0.7	0.10	0.03	0.00	7.551	5.069	0.000	12.621	0.000
