		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	00:15	7.325	
	00:45	7.330	
	01:00		5.50
	01:15	7.333	
	01:45	7.331	
	02:00		5.50
	02:15	7.330	
	02:45	7.329	
	03:00		5.50
	03:15	7.328	
	03:45	7.327	
	04:00		5.50
	04:15	7.327	
	04:45	7.326	
	05:00		5.50
	05:15	7.336	
	05:45	7.358	
	06:00		5.30
	06:15	7.382	
	06:45	7.407	
	07:00		5.10
	07:15	7.425	
	07:45	7.439	
	08:00		5.00
	08:15	7.444	
	08:45	7.402	
	09:00		4.90
	09:15	6.770	
	09:45	6.780	
	10:00		4.90
	10:15	6.841	
	10:45	6.931	
	11:00		4.40
	11:15	7.027	
	11:45	7.126	
	12:00		3.80
	12:15	7.204	
	12:45	7.259	
	13:00		3.60
	13:15	7.322	
	13:45	7.395	
	14:00		3.20
	14:15	7.446	
	14:45	7.474	
	15:00		3.20
	15:15	7.511	
	15:45	7.562	
	16:00		3.00
	16:15	7.585	
	16:45	7.575	
	17:00		3.30
	17:15	7.565	
	17:45	7.558	
	18:00		3.50
	18:15	6.992	
	18:45	6.966	
	19:00		3.60
	19:15	6.939	
	19:45	6.916	
	20:00		3.70
	20:15	6.899	
	20:45	6.903	
	21:00		3.80
	21:15	6.921	
	21:45	6.947	
	22:00		3.70
	22:15	7.808	
	22:45	7.742	
	23:00		3.70
	23:15	7.827	
	23:45	7.768	
Mon, 02/Jan	24:00		4.00
	00:15	7.845	
	00:45	7.828	
	01:00		4.10
	01:15	7.813	
	01:45	7.800	
	02:00		4.20
	02:15	7.782	
	02:45	7.759	
	03:00		4.40
	03:15	7.734	
	03:45	7.710	
	04:00		4.60
	04:15	7.713	
	04:45	7.745	
	05:00		4.30
	05:15	7.757	
	05:45	7.748	
	06:00		4.40
	06:15	7.753	
	06:45	7.775	
	07:00		4.20
	07:15	7.808	
	07:45	7.853	
	08:00		3.80
	08:15	7.882	
	08:45	7.852	
	09:00		3.60
	09:15	7.171	
	09:45	7.074	
	10:00		4.40
	10:15	7.037	
	10:45	7.045	
	11:00		4.40
	11:15	7.009	
	11:45	6.889	
	12:00		4.90
	12:15	6.858	
	12:45	7.017	
	13:00		3.90
	13:15	7.118	
	13:45	7.050	
	14:00		4.00
	14:15	7.017	
	14:45	7.131	
	15:00		4.00
