Date,Time,Total nat. gas (kBtu/h),Dry-bulb temperature (°C)
01-01,00:15,7.325,5.50
01-01,00:45,7.330,5.50
01-01,01:15,7.333,5.50
01-01,01:45,7.331,5.50
01-01,02:15,7.330,5.50
01-01,02:45,7.329,5.50
01-01,03:15,7.328,5.50
01-01,03:45,7.327,5.50
01-01,04:15,7.327,5.50
01-01,04:45,7.326,5.50
01-01,05:15,7.336,5.30
01-01,05:45,7.358,5.30
01-01,06:15,7.382,5.10
01-01,06:45,7.407,5.10
01-01,07:15,7.425,5.00
01-01,07:45,7.439,5.00
01-01,08:15,7.444,4.90
01-01,08:45,7.402,4.90
01-01,09:15,6.770,4.90
01-01,09:45,6.780,4.90
01-01,10:15,6.841,4.40
01-01,10:45,6.931,4.40
01-01,11:15,7.027,3.80
01-01,11:45,7.126,3.80
01-01,12:15,7.204,3.60
01-01,12:45,7.259,3.60
01-01,13:15,7.322,3.20
01-01,13:45,7.395,3.20
01-01,14:15,7.446,3.20
01-01,14:45,7.474,3.20
01-01,15:15,7.511,3.00
01-01,15:45,7.562,3.00
01-01,16:15,7.585,3.30
01-01,16:45,7.575,3.30
01-01,17:15,7.565,3.50
01-01,17:45,7.558,3.50
01-01,18:15,6.992,3.60
01-01,18:45,6.966,3.60
01-01,19:15,6.939,3.70
01-01,19:45,6.916,3.70
01-01,20:15,6.899,3.80
01-01,20:45,6.903,3.80
01-01,21:15,6.921,3.70
01-01,21:45,6.947,3.70
01-01,22:15,7.808,3.70
01-01,22:45,7.742,3.70
01-01,23:15,7.827,4.00
01-01,23:45,7.768,4.00
01-02,00:15,7.845,4.10
01-02,00:45,7.828,4.10
01-02,01:15,7.813,4.20
01-02,01:45,7.800,4.20
01-02,02:15,7.782,4.40
01-02,02:45,7.759,4.40
01-02,03:15,7.734,4.60
01-02,03:45,7.710,4.60
01-02,04:15,7.713,4.30
01-02,04:45,7.745,4.30
01-02,05:15,7.757,4.40
01-02,05:45,7.748,4.40
01-02,06:15,7.753,4.20
01-02,06:45,7.775,4.20
01-02,07:15,7.808,3.80
01-02,07:45,7.853,3.80
01-02,08:15,7.882,3.60
01-02,08:45,7.852,3.60
01-02,09:15,7.171,4.40
01-02,09:45,7.074,4.40
