"Latitude (decimal degrees):	51.507",,,,,,,,,,,,,,,,,
"Longitude (decimal degrees):	0.135",,,,,,,,,,,,,,,,,
"Elevation (m):	3",,,,,,,,,,,,,,,,,
"Radiation database:	PVGIS-SARAH2",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Slope: 40 deg. (optimum),,,,,,,,,,,,,,,,,
Azimuth: -1 deg. (optimum),,,,,,,,,,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	150.0",,,,,,,,,,,,,,,,,
"System losses (%):	14.0",,,,,,,,,,,,,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int,,,,,,,,,,,
20130101:0010,0,0,0,8.72,4.14,0,,,,,,,,,,,
20130101:0110,0,0,0,8.45,4.48,0,,,,,,,,,,,0
20130101:0210,0,0,0,7.75,4.28,0,,,,,,,,,,,0
20130101:0310,0,0,0,7.03,3.93,0,,,,,,,,,,,0
20130101:0410,0,0,0,6.22,3.45,0,,,,,,,,,,,0
20130101:0510,0,0,0,5.17,3.59,0,,,,,,,,,,,0
20130101:0610,0,0,0,4.31,3.66,0,,,,,,,,,,,0
20130101:0710,0,0,0,4.16,3.66,0,,,,,,,,,,,0
20130101:0810,0,0,0,3.64,3.45,0,,,,,,,,,,,0
20130101:0910,43155,332.74,6.5,3.62,3.59,0,,,,,,,,,,,0
20130101:1010,68211,521.04,11.54,4.44,3.24,0,,,,,,,,,,,43155
20130101:1110,83799,643.72,14.62,5.36,3.66,0,,,,,,,,0,,,68211
20130101:1210,86482.5,664.48,15.46,6.06,4.28,0,,,,,,,,0,,,83799
20130101:1310,75505.5,577.12,14,6.49,4.97,0,,,,,,,,0,,,86482.5
20130101:1410,42211.5,327.62,10.36,6.59,4.55,0,,,,,,,,0,,,75505.5
20130101:1510,8127,77.78,4.85,6.31,3.79,0,,,,,,,,0,,,42211.5
20130101:1610,0,0,0,5.76,3.66,0,,,,,,,,0,,,8127
20130101:1710,0,0,0,5.4,3.79,0,,,,,,,,0,,,0
20130101:1810,0,0,0,5.21,4,0,,,,,,,,0,,,0
20130101:1910,0,0,0,5,4.28,0,,,,,,,,0,,,0
20130101:2010,0,0,0,5.24,4.07,0,,,,,,,,86.31,,,0
20130101:2110,0,0,0,5.54,3.86,0,,,,,,,,136.422,,,0
20130101:2210,0,0,0,5.37,4,0,,,,,,,,167.598,,,0
20130101:2310,0,0,0,5.09,4,0,,,,,,,,172.965,,,0
20130102:0010,0,0,0,4.57,3.79,0,,,,,,,,151.011,,,0
20130102:0110,0,0,0,4,3.66,0,,,,,,,,84.423,,,
20130102:0210,0,0,0,3.67,3.59,0,,,,,,,,16.254,,,
20130102:0310,0,0,0,3.56,3.52,0,,,,,,,,0,,,
20130102:0410,0,0,0,3.34,3.24,0,,,,,,,,0,,,
20130102:0510,0,0,0,3.12,3.1,0,,,,,,,,0,,,
20130102:0610,0,0,0,3.02,2.83,0,,,,,,,,0,,,
20130102:0710,0,0,0,4.1,2.62,0,,,,,,,,0,,,
20130102:0810,0,0,0,4.52,2.62,0,,,,,,,,0,,,
20130102:0910,522,12.7,6.54,4.96,2.62,0,,,,,,,,0,,,
20130102:1010,5802,59.56,11.59,5.62,2.48,0,,,,,,,,0,,,
20130102:1110,6606,66.21,14.69,6.11,2.41,0,,,,,,,,,,,
20130102:1210,7048.5,69.84,15.55,6.57,2.48,0,,,,,,,,,,,
20130102:1310,1945.5,27.21,14.1,6.85,3.1,0,,,,,,,,,,,
20130102:1410,4233,47.16,10.47,7.18,3.52,0,,,,,,,,,,,
20130102:1510,670.5,14.51,4.97,7.6,3.79,0,,,,,,,,,,,
20130102:1610,0,0,0,8.12,3.72,0,,,,,,,,,,,
20130102:1710,0,0,0,8.64,3.52,0,,,,,,,,,,,
20130102:1810,0,0,0,9,3.52,0,,,,,,,,,,,
20130102:1910,0,0,0,9.36,3.66,0,,,,,,,,,,,
20130102:2010,0,0,0,9.67,3.79,0,,,,,,,,,,,
20130102:2110,0,0,0,9.93,3.93,0,,,,,,,,,,,
20130102:2210,0,0,0,10.1,3.93,0,,,,,,,,,,,
20130102:2310,0,0,0,10.18,4,0,,,,,,,,,,,
20130103:0010,0,0,0,10.1,4,0,,,,,,,,,,,
20130103:0110,0,0,0,9.98,3.93,0,,,,,,,,,,,
20130103:0210,0,0,0,9.86,3.79,0,,,,,,,,,,,
20130103:0310,0,0,0,9.85,3.79,0,,,,,,,,,,,
20130103:0410,0,0,0,9.74,3.79,0,,,,,,,,,,,
20130103:0510,0,0,0,9.65,3.79,0,,,,,,,,,,,
20130103:0610,0,0,0,9.62,3.72,0,,,,,,,,,,,
20130103:0710,0,0,0,9.5,3.93,0,,,,,,,,,,,
20130103:0810,0,0,0,9.42,3.86,0,,,,,,,,,,,
20130103:0910,582,13.61,6.58,9.64,3.72,0,,,,,,,,,,,
20130103:1010,13596,120.61,11.65,10.14,3.93,0,,,,,,,,,,,
20130103:1110,28654.5,232.94,14.76,10.75,4.21,0,,,,,,,,,,,
20130103:1210,43959,347.52,15.65,11.27,4.62,0,,,,,,,,,,,
20130103:1310,20020.5,169.51,14.21,11.47,4.28,0,,,,,,,,,,,
20130103:1410,19840.5,167.94,10.59,11.35,3.66,0,,,,,,,,,,,
20130103:1510,6930,69.8,5.1,11.2,3.17,0,,,,,,,,,,,
20130103:1610,0,0,0,10.9,3.17,0,,,,,,,,,,,
20130103:1710,0,0,0,10.61,3.31,0,,,,,,,,,,,
20130103:1810,0,0,0,10.36,3.45,0,,,,,,,,,,,
20130103:1910,0,0,0,9.89,3.66,0,,,,,,,,,,,
20130103:2010,0,0,0,9.74,3.86,0,,,,,,,,,,,
20130103:2110,0,0,0,9.67,3.86,0,,,,,,,,,,,
20130103:2210,0,0,0,9.7,3.72,0,,,,,,,,,,,
20130103:2310,0,0,0,9.66,3.31,0,,,,,,,,,,,
20130104:0010,0,0,0,9.62,2.97,0,,,,,,,,,,,
20130104:0110,0,0,0,9.53,2.9,0,,,,,,,,,,,
20130104:0210,0,0,0,9.42,2.83,0,,,,,,,,,,,
20130104:0310,0,0,0,9.31,2.97,0,,,,,,,,,,,
20130104:0410,0,0,0,9.19,3.17,0,,,,,,,,,,,
20130104:0510,0,0,0,9.07,3.38,0,,,,,,,,,,,
20130104:0610,0,0,0,8.85,3.52,0,,,,,,,,,,,
20130104:0710,0,0,0,8.4,3.31,0,,,,,,,,,,,
20130104:0810,0,0,0,8.28,3.17,0,,,,,,,,,,,
20130104:0910,1005,18.14,6.63,8.16,3.1,0,,,,,,,,,,,
20130104:1010,6180,63.18,11.72,8.24,3.72,0,,,,,,,,,,,
20130104:1110,36315,287.27,14.85,8.45,3.72,0,,,,,,,,,,,
20130104:1210,23080.5,190.39,15.75,8.68,3.66,0,,,,,,,,,,,
20130104:1310,16027.5,138.38,14.33,8.8,3.66,0,,,,,,,,,,,
20130104:1410,3979.5,45.35,10.72,8.93,3.66,0,,,,,,,,,,,
20130104:1510,745.5,15.42,5.24,9.03,3.38,0,,,,,,,,,,,
20130104:1610,0,0,0,8.91,2.76,0,,,,,,,,,,,
20130104:1710,0,0,0,8.68,2.55,0,,,,,,,,,,,
20130104:1810,0,0,0,8.53,2.28,0,,,,,,,,,,,
20130104:1910,0,0,0,8.18,2.28,0,,,,,,,,,,,
20130104:2010,0,0,0,8.22,2.28,0,,,,,,,,,,,
20130104:2110,0,0,0,8.09,2.28,0,,,,,,,,,,,
20130104:2210,0,0,0,8.04,2.21,0,,,,,,,,,,,
20130104:2310,0,0,0,7.86,2.21,0,,,,,,,,,,,
20130105:0010,0,0,0,7.68,2.28,0,,,,,,,,,,,
20130105:0110,0,0,0,7.57,2.28,0,,,,,,,,,,,
20130105:0210,0,0,0,7.45,2.21,0,,,,,,,,,,,
20130105:0310,0,0,0,7.33,2.07,0,,,,,,,,,,,
20130105:0410,0,0,0,7.35,2.14,0,,,,,,,,,,,
20130105:0510,0,0,0,7.49,2.21,0,,,,,,,,,,,
20130105:0610,0,0,0,7.69,2.34,0,,,,,,,,,,,
20130105:0710,0,0,0,7.97,1.72,0,,,,,,,,,,,
20130105:0810,0,0,0,8.1,1.59,0,,,,,,,,,,,
20130105:0910,4045.5,45.64,6.68,8.3,1.93,0,,,,,,,,,,,
20130105:1010,3766.5,43.54,11.79,8.83,2.62,0,,,,,,,,,,,
20130105:1110,6384,65.3,14.94,9.6,3.17,0,,,,,,,,,,,
20130105:1210,6945,69.84,15.86,9.74,3.31,0,,,,,,,,,,,
20130105:1310,8223,79.93,14.45,9.92,3.66,0,,,,,,,,,,,
20130105:1410,6469.5,65.85,10.86,9.93,3.52,0,,,,,,,,,,,
20130105:1510,8869.5,84.65,5.38,9.76,3.03,0,,,,,,,,,,,
20130105:1610,0,0,0,9.34,3.03,0,,,,,,,,,,,
20130105:1710,0,0,0,9.05,3.03,0,,,,,,,,,,,
20130105:1810,0,0,0,8.8,2.69,0,,,,,,,,,,,
20130105:1910,0,0,0,9.1,2.83,0,,,,,,,,,,,
20130105:2010,0,0,0,8.81,3.1,0,,,,,,,,,,,
20130105:2110,0,0,0,8.53,2.76,0,,,,,,,,,,,
20130105:2210,0,0,0,7.87,2.48,0,,,,,,,,,,,
20130105:2310,0,0,0,7.43,2.41,0,,,,,,,,,,,
20130106:0010,0,0,0,6.94,2.41,0,,,,,,,,,,,
20130106:0110,0,0,0,6.58,2.34,0,,,,,,,,,,,
20130106:0210,0,0,0,6.33,2.34,0,,,,,,,,,,,
20130106:0310,0,0,0,6.14,2.28,0,,,,,,,,,,,
20130106:0410,0,0,0,6.08,2.14,0,,,,,,,,,,,
20130106:0510,0,0,0,5.86,2.07,0,,,,,,,,,,,
20130106:0610,0,0,0,5.51,2.14,0,,,,,,,,,,,
20130106:0710,0,0,0,5.51,1.93,0,,,,,,,,,,,
20130106:0810,0,0,0,5.76,1.72,0,,,,,,,,,,,
20130106:0910,226.5,9.07,6.74,6.41,1.38,0,,,,,,,,,,,
20130106:1010,11592,104.66,11.87,7.44,1.79,0,,,,,,,,,,,
20130106:1110,2835,35.37,15.04,8.02,1.52,0,,,,,,,,,,,
20130106:1210,7782,76.19,15.98,8.28,1.59,0,,,,,,,,,,,
20130106:1310,23260.5,192.41,14.59,8.5,1.52,0,,,,,,,,,,,
20130106:1410,3981,45.35,11,8.62,1.66,0,,,,,,,,,,,
20130106:1510,6114,62.64,5.53,8.66,2,0,,,,,,,,,,,
20130106:1610,0,0,0,8.45,1.93,0,,,,,,,,,,,
20130106:1710,0,0,0,8.01,2.07,0,,,,,,,,,,,
20130106:1810,0,0,0,7.57,2.21,0,,,,,,,,,,,
20130106:1910,0,0,0,7.67,2.34,0,,,,,,,,,,,
20130106:2010,0,0,0,7.61,2.14,0,,,,,,,,,,,
20130106:2110,0,0,0,7.61,2,0,,,,,,,,,,,
20130106:2210,0,0,0,7.47,2.07,0,,,,,,,,,,,
20130106:2310,0,0,0,7.4,2.62,0,,,,,,,,,,,
20130107:0010,0,0,0,7.3,2.76,0,,,,,,,,,,,
20130107:0110,0,0,0,7.1,2.48,0,,,,,,,,,,,
20130107:0210,0,0,0,6.95,2.34,0,,,,,,,,,,,
20130107:0310,0,0,0,6.8,2.28,0,,,,,,,,,,,
20130107:0410,0,0,0,6.7,2.21,0,,,,,,,,,,,
20130107:0510,0,0,0,6.64,2.07,0,,,,,,,,,,,
20130107:0610,0,0,0,6.62,1.93,0,,,,,,,,,,,
20130107:0710,0,0,0,6.63,2.14,0,,,,,,,,,,,
20130107:0810,0,0,0,6.72,2.28,0,,,,,,,,,,,
20130107:0910,1560,23.58,6.81,6.89,2.41,0,,,,,,,,,,,
20130107:1010,4336.5,48.07,11.96,7.27,2.48,0,,,,,,,,,,,
20130107:1110,4981.5,53.51,15.15,7.93,3.03,0,,,,,,,,,,,
20130107:1210,13038,116.12,16.1,8.21,3.24,0,,,,,,,,,,,
20130107:1310,2931,36.28,14.72,8.66,3.86,0,,,,,,,,,,,
20130107:1410,4524,49.89,11.15,8.66,2.83,0,,,,,,,,,,,
20130107:1510,1269,20.86,5.68,8.51,3.03,0,,,,,,,,,,,
20130107:1610,0,0,0,8.07,2.9,0,,,,,,,,,,,
20130107:1710,0,0,0,7.74,2.9,0,,,,,,,,,,,
20130107:1810,0,0,0,7.67,3.03,0,,,,,,,,,,,
20130107:1910,0,0,0,7.77,3.38,0,,,,,,,,,,,
20130107:2010,0,0,0,7.9,3.38,0,,,,,,,,,,,
20130107:2110,0,0,0,8.02,3.31,0,,,,,,,,,,,
20130107:2210,0,0,0,8.14,3.31,0,,,,,,,,,,,
20130107:2310,0,0,0,8.16,3.24,0,,,,,,,,,,,
20130108:0010,0,0,0,8.28,3.24,0,,,,,,,,,,,
20130108:0110,0,0,0,8.26,3.31,0,,,,,,,,,,,
20130108:0210,0,0,0,8.21,3.45,0,,,,,,,,,,,
20130108:0310,0,0,0,8.17,3.31,0,,,,,,,,,,,
20130108:0410,0,0,0,8,3.17,0,,,,,,,,,,,
20130108:0510,0,0,0,7.89,3.1,0,,,,,,,,,,,
20130108:0610,0,0,0,7.79,3.1,0,,,,,,,,,,,
20130108:0710,0,0,0,7.76,2.97,0,,,,,,,,,,,
20130108:0810,0,0,0,7.8,3.17,0,,,,,,,,,,,
20130108:0910,28914,233.31,6.89,8.1,3.38,0,,,,,,,,,,,
20130108:1010,25861.5,210.64,12.05,8.82,3.45,0,,,,,,,,,,,
20130108:1110,43909.5,344.46,15.26,9.46,4.48,0,,,,,,,,,,,
20130108:1210,51297,401.43,16.23,9.94,4.14,0,,,,,,,,,,,
20130108:1310,68571,536.24,14.87,10.3,3.93,0,,,,,,,,,,,
20130108:1410,11445,104.49,11.3,10.36,3.72,0,,,,,,,,,,,
