Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh)
01/10/2023 00:00,01/10/2023 00:30,18.48,8.83
01/10/2023 00:30,01/10/2023 01:00,17.86,8.56
01/10/2023 01:00,01/10/2023 01:30,16.32,7.90
01/10/2023 01:30,01/10/2023 02:00,15.17,7.41
01/10/2023 02:00,01/10/2023 02:30,11.03,5.62
01/10/2023 02:30,01/10/2023 03:00,10.58,5.43
01/10/2023 03:00,01/10/2023 03:30,11.91,6.00
01/10/2023 03:30,01/10/2023 04:00,10.76,5.51
01/10/2023 04:00,01/10/2023 04:30,11.73,5.92
01/10/2023 04:30,01/10/2023 05:00,11.29,5.73
01/10/2023 05:00,01/10/2023 05:30,13.67,6.76
01/10/2023 05:30,01/10/2023 06:00,13.23,6.57
01/10/2023 06:00,01/10/2023 06:30,15.13,7.39
01/10/2023 06:30,01/10/2023 07:00,15.52,7.56
01/10/2023 07:00,01/10/2023 07:30,11.03,5.62
01/10/2023 07:30,01/10/2023 08:00,16.76,8.09
01/10/2023 08:00,01/10/2023 08:30,11.03,5.62
01/10/2023 08:30,01/10/2023 09:00,17.16,8.26
01/10/2023 09:00,01/10/2023 09:30,12.35,6.19
01/10/2023 09:30,01/10/2023 10:00,17.64,8.47
01/10/2023 10:00,01/10/2023 10:30,17.64,8.47
01/10/2023 10:30,01/10/2023 11:00,19.10,9.10
01/10/2023 11:00,01/10/2023 11:30,18.70,8.93
01/10/2023 11:30,01/10/2023 12:00,19.40,9.23
01/10/2023 12:00,01/10/2023 12:30,20.95,9.90
01/10/2023 12:30,01/10/2023 13:00,21.27,10.04
01/10/2023 13:00,01/10/2023 13:30,19.84,9.42
01/10/2023 13:30,01/10/2023 14:00,18.00,8.62
01/10/2023 14:00,01/10/2023 14:30,19.40,9.23
01/10/2023 14:30,01/10/2023 15:00,17.11,8.24
01/10/2023 15:00,01/10/2023 15:30,16.54,8.00
01/10/2023 15:30,01/10/2023 16:00,16.76,8.09
01/10/2023 16:00,01/10/2023 16:30,33.09,14.58
01/10/2023 16:30,01/10/2023 17:00,32.64,14.39
01/10/2023 17:00,01/10/2023 17:30,34.93,15.37
01/10/2023 17:30,01/10/2023 18:00,35.13,15.46
01/10/2023 18:00,01/10/2023 18:30,36.04,15.85
01/10/2023 18:30,01/10/2023 19:00,38.22,16.79
01/10/2023 19:00,01/10/2023 19:30,26.46,12.27
01/10/2023 19:30,01/10/2023 20:00,23.33,10.92
01/10/2023 20:00,01/10/2023 20:30,26.46,12.27
01/10/2023 20:30,01/10/2023 21:00,20.82,9.84
01/10/2023 21:00,01/10/2023 21:30,22.23,10.45
01/10/2023 21:30,01/10/2023 22:00,18.66,8.91
01/10/2023 22:00,01/10/2023 22:30,20.04,9.51
01/10/2023 22:30,01/10/2023 23:00,18.22,8.72
01/10/2023 23:00,01/10/2023 23:30,18.52,8.85
01/10/2023 23:30,02/10/2023 00:00,17.58,8.44
02/10/2023 00:00,02/10/2023 00:30,17.56,8.43
02/10/2023 00:30,02/10/2023 01:00,17.46,8.39
02/10/2023 01:00,02/10/2023 01:30,17.20,8.28
02/10/2023 01:30,02/10/2023 02:00,18.34,8.77
02/10/2023 02:00,02/10/2023 02:30,17.46,8.39
02/10/2023 02:30,02/10/2023 03:00,17.46,8.39
02/10/2023 03:00,02/10/2023 03:30,17.46,8.39
02/10/2023 03:30,02/10/2023 04:00,16.76,8.09
02/10/2023 04:00,02/10/2023 04:30,19.84,9.42
02/10/2023 04:30,02/10/2023 05:00,18.34,8.77
02/10/2023 05:00,02/10/2023 05:30,18.98,9.05
02/10/2023 05:30,02/10/2023 06:00,20.64,9.76
02/10/2023 06:00,02/10/2023 06:30,19.47,9.26
02/10/2023 06:30,02/10/2023 07:00,24.19,11.29
02/10/2023 07:00,02/10/2023 07:30,19.76,9.38
02/10/2023 07:30,02/10/2023 08:00,26.66,12.36
02/10/2023 08:00,02/10/2023 08:30,22.05,10.37
02/10/2023 08:30,02/10/2023 09:00,23.29,10.90
02/10/2023 09:00,02/10/2023 09:30,19.87,9.43
02/10/2023 09:30,02/10/2023 10:00,19.90,9.44
02/10/2023 10:00,02/10/2023 10:30,19.69,9.35
02/10/2023 10:30,02/10/2023 11:00,18.34,8.77
02/10/2023 11:00,02/10/2023 11:30,18.34,8.77
02/10/2023 11:30,02/10/2023 12:00,17.62,8.46
02/10/2023 12:00,02/10/2023 12:30,18.52,8.85
02/10/2023 12:30,02/10/2023 13:00,18.34,8.77
02/10/2023 13:00,02/10/2023 13:30,18.34,8.77
02/10/2023 13:30,02/10/2023 14:00,17.98,8.61
02/10/2023 14:00,02/10/2023 14:30,18.77,8.96
02/10/2023 14:30,02/10/2023 15:00,18.28,8.75
02/10/2023 15:00,02/10/2023 15:30,20.11,9.53
02/10/2023 15:30,02/10/2023 16:00,20.44,9.68
