From,To,Cost_HP,Cost_Gas_Boiler
2023-01-01 00:00:00,2023-01-31 23:30:00,39174.82396229591,41168.981226614895
2023-02-01 00:00:00,2023-02-28 23:30:00,33877.919932863966,34279.294633603815
2023-03-01 00:00:00,2023-03-31 23:30:00,31988.647397509005,34243.78834146721
2023-04-01 00:00:00,2023-04-30 23:30:00,24104.92569448388,26548.924005999063
2023-05-01 00:00:00,2023-05-31 23:30:00,19578.84005290254,23331.779032697435
2023-06-01 00:00:00,2023-06-30 23:30:00,21148.967014014903,23903.231705624858
2023-07-01 00:00:00,2023-07-31 23:30:00,16793.241536136014,21403.040759058946
2023-08-01 00:00:00,2023-08-31 23:30:00,21649.31180225399,24769.183366954476
2023-09-01 00:00:00,2023-09-30 23:30:00,18250.0245829565,21793.674891983952
2023-10-01 00:00:00,2023-10-31 23:30:00,21326.852003961187,25306.05055466734
2023-11-01 00:00:00,2023-11-30 23:30:00,25949.927021236395,29169.255932331693
2023-12-01 00:00:00,2023-12-31 23:30:00,21811.600457653985,29081.22900697921
