,Electricity Demand (kW),Heat Demand (kW),Solar Generation (kW),Import Price (p/kWh),Export Price (p/kWh),Indoor Temperature,Water Temperature,Solar Radiation (kW/m2),Outdoor Temperature
00:00,0.280,0.098,0.000,12.35,6.19,22.000,70.000,0,1.94
01:00,0.268,0.097,0.000,11.69,5.9,22.000,70.000,0,1.84
02:00,0.280,0.094,0.000,11,5.61,22.000,70.000,0,1.92
03:00,0.268,0.091,0.000,8,4.31,22.000,70.000,0,1.93
04:00,0.284,0.086,0.000,6.94,3.86,22.000,70.000,0,2.21
05:00,3.040,0.081,0.030,8.3,4.45,22.000,70.000,0,2.48
06:00,4.368,0.078,0.312,12.68,6.33,22.000,70.000,0.03147,3.11
07:00,0.276,0.076,1.098,14.32,7.04,22.000,70.000,0.05442,4.38
08:00,0.276,0.072,2.004,14.36,7.06,22.000,70.000,0.13351,4.93
09:00,0.288,0.066,3.294,14.63,7.18,22.000,70.000,0.18965,5.16
10:00,0.276,0.059,5.034,12.87,6.42,22.000,70.000,0.17052,5.78
11:00,0.284,0.050,5.694,9.26,4.86,22.000,70.000,0.32089,6.27
12:00,0.284,0.042,3.828,7.17,3.96,22.000,70.000,0.23718,6.65
13:00,0.292,0.034,1.650,3.71,2.46,22.000,70.000,0.22354,6.88
14:00,0.296,0.026,0.966,2.09,1.77,22.000,70.000,0.14331,7.21
15:00,0.268,0.019,0.606,2.65,2.01,22.000,70.000,0.13605,7.4
16:00,0.252,0.012,0.276,18.42,8.26,22.000,70.000,0.09342,7.26
17:00,0.252,0.005,0.072,22.74,10.12,22.000,70.000,0.03628,7.07
18:00,0.288,0.000,0.000,26.71,11.83,22.000,70.000,0.0118,6.71
19:00,0.488,0.000,0.000,14.3,7.03,22.000,70.000,0,5.82
20:00,1.860,0.000,0.000,14.37,7.06,22.000,70.000,0,5.28
21:00,1.712,0.000,0.000,11.6,5.87,22.000,70.000,0,4.83
22:00,1.748,0.000,0.000,8.49,4.53,22.000,70.000,0,4.47
23:00,0.392,0.000,0.000,2.65,2.01,22.000,70.000,0,4.26
,,,,,,,,,
,,,,,,,,,
