time,local_time,total_demand,heating_demand,cooling_demand
01/01/2019 00:00,01/01/2019 00:00,2.466,2.466,0
01/01/2019 01:00,01/01/2019 01:00,2.492,2.492,0
01/01/2019 02:00,01/01/2019 02:00,2.49,2.49,0
01/01/2019 03:00,01/01/2019 03:00,2.469,2.469,0
01/01/2019 04:00,01/01/2019 04:00,2.463,2.463,0
01/01/2019 05:00,01/01/2019 05:00,2.508,2.508,0
01/01/2019 06:00,01/01/2019 06:00,2.609,2.609,0
01/01/2019 07:00,01/01/2019 07:00,2.672,2.672,0
01/01/2019 08:00,01/01/2019 08:00,2.681,2.681,0
01/01/2019 09:00,01/01/2019 09:00,2.628,2.628,0
01/01/2019 10:00,01/01/2019 10:00,2.536,2.536,0
01/01/2019 11:00,01/01/2019 11:00,2.447,2.447,0
01/01/2019 12:00,01/01/2019 12:00,2.359,2.359,0
01/01/2019 13:00,01/01/2019 13:00,2.266,2.266,0
01/01/2019 14:00,01/01/2019 14:00,2.202,2.202,0
01/01/2019 15:00,01/01/2019 15:00,2.204,2.204,0
01/01/2019 16:00,01/01/2019 16:00,2.32,2.32,0
01/01/2019 17:00,01/01/2019 17:00,2.527,2.527,0
01/01/2019 18:00,01/01/2019 18:00,2.577,2.577,0
01/01/2019 19:00,01/01/2019 19:00,2.456,2.456,0
01/01/2019 20:00,01/01/2019 20:00,2.376,2.376,0
01/01/2019 21:00,01/01/2019 21:00,2.427,2.427,0
01/01/2019 22:00,01/01/2019 22:00,2.485,2.485,0
01/01/2019 23:00,01/01/2019 23:00,2.494,2.494,0
02/01/2019 00:00,02/01/2019 00:00,2.574,2.574,0
02/01/2019 01:00,02/01/2019 01:00,2.631,2.631,0
02/01/2019 02:00,02/01/2019 02:00,2.657,2.657,0
02/01/2019 03:00,02/01/2019 03:00,2.662,2.662,0
02/01/2019 04:00,02/01/2019 04:00,2.682,2.682,0
02/01/2019 05:00,02/01/2019 05:00,2.757,2.757,0
02/01/2019 06:00,02/01/2019 06:00,2.892,2.892,0
02/01/2019 07:00,02/01/2019 07:00,2.986,2.986,0
02/01/2019 08:00,02/01/2019 08:00,3.018,3.018,0
02/01/2019 09:00,02/01/2019 09:00,2.979,2.979,0
02/01/2019 10:00,02/01/2019 10:00,2.892,2.892,0
02/01/2019 11:00,02/01/2019 11:00,2.807,2.807,0
02/01/2019 12:00,02/01/2019 12:00,2.72,2.72,0
02/01/2019 13:00,02/01/2019 13:00,2.626,2.626,0
02/01/2019 14:00,02/01/2019 14:00,2.562,2.562,0
02/01/2019 15:00,02/01/2019 15:00,2.573,2.573,0
02/01/2019 16:00,02/01/2019 16:00,2.716,2.716,0
02/01/2019 17:00,02/01/2019 17:00,2.966,2.966,0
02/01/2019 18:00,02/01/2019 18:00,3.03,3.03,0
02/01/2019 19:00,02/01/2019 19:00,2.893,2.893,0
02/01/2019 20:00,02/01/2019 20:00,2.801,2.801,0
02/01/2019 21:00,02/01/2019 21:00,2.861,2.861,0
02/01/2019 22:00,02/01/2019 22:00,2.931,2.931,0
02/01/2019 23:00,02/01/2019 23:00,2.94,2.94,0
03/01/2019 00:00,03/01/2019 00:00,3.031,3.031,0
03/01/2019 01:00,03/01/2019 01:00,3.094,3.094,0
03/01/2019 02:00,03/01/2019 02:00,3.12,3.12,0
03/01/2019 03:00,03/01/2019 03:00,3.119,3.119,0
03/01/2019 04:00,03/01/2019 04:00,3.134,3.134,0
03/01/2019 05:00,03/01/2019 05:00,3.211,3.211,0
03/01/2019 06:00,03/01/2019 06:00,3.358,3.358,0
03/01/2019 07:00,03/01/2019 07:00,3.454,3.454,0
03/01/2019 08:00,03/01/2019 08:00,3.477,3.477,0
03/01/2019 09:00,03/01/2019 09:00,3.417,3.417,0
03/01/2019 10:00,03/01/2019 10:00,3.302,3.302,0
03/01/2019 11:00,03/01/2019 11:00,3.188,3.188,0
03/01/2019 12:00,03/01/2019 12:00,3.073,3.073,0
03/01/2019 13:00,03/01/2019 13:00,2.948,2.948,0
03/01/2019 14:00,03/01/2019 14:00,2.859,2.859,0
03/01/2019 15:00,03/01/2019 15:00,2.853,2.853,0
03/01/2019 16:00,03/01/2019 16:00,2.992,2.992,0
03/01/2019 17:00,03/01/2019 17:00,3.245,3.245,0
03/01/2019 18:00,03/01/2019 18:00,3.292,3.292,0
03/01/2019 19:00,03/01/2019 19:00,3.121,3.121,0
03/01/2019 20:00,03/01/2019 20:00,3.001,3.001,0
03/01/2019 21:00,03/01/2019 21:00,3.045,3.045,0
03/01/2019 22:00,03/01/2019 22:00,3.096,3.096,0
03/01/2019 23:00,03/01/2019 23:00,3.085,3.085,0
04/01/2019 00:00,04/01/2019 00:00,3.159,3.159,0
04/01/2019 01:00,04/01/2019 01:00,3.203,3.203,0
04/01/2019 02:00,04/01/2019 02:00,3.209,3.209,0
04/01/2019 03:00,04/01/2019 03:00,3.187,3.187,0
04/01/2019 04:00,04/01/2019 04:00,3.184,3.184,0
04/01/2019 05:00,04/01/2019 05:00,3.244,3.244,0
04/01/2019 06:00,04/01/2019 06:00,3.374,3.374,0
04/01/2019 07:00,04/01/2019 07:00,3.453,3.453,0
04/01/2019 08:00,04/01/2019 08:00,3.46,3.46,0
04/01/2019 09:00,04/01/2019 09:00,3.387,3.387,0
04/01/2019 10:00,04/01/2019 10:00,3.26,3.26,0
04/01/2019 11:00,04/01/2019 11:00,3.138,3.138,0
04/01/2019 12:00,04/01/2019 12:00,3.017,3.017,0
04/01/2019 13:00,04/01/2019 13:00,2.889,2.889,0
04/01/2019 14:00,04/01/2019 14:00,2.798,2.798,0
04/01/2019 15:00,04/01/2019 15:00,2.79,2.79,0
04/01/2019 16:00,04/01/2019 16:00,2.925,2.925,0
04/01/2019 17:00,04/01/2019 17:00,3.173,3.173,0
04/01/2019 18:00,04/01/2019 18:00,3.22,3.22,0
04/01/2019 19:00,04/01/2019 19:00,3.056,3.056,0
04/01/2019 20:00,04/01/2019 20:00,2.941,2.941,0
04/01/2019 21:00,04/01/2019 21:00,2.987,2.987,0
04/01/2019 22:00,04/01/2019 22:00,3.042,3.042,0
04/01/2019 23:00,04/01/2019 23:00,3.035,3.035,0
05/01/2019 00:00,05/01/2019 00:00,3.113,3.113,0
05/01/2019 01:00,05/01/2019 01:00,3.162,3.162,0
05/01/2019 02:00,05/01/2019 02:00,3.172,3.172,0
05/01/2019 03:00,05/01/2019 03:00,3.156,3.156,0
05/01/2019 04:00,05/01/2019 04:00,3.156,3.156,0
05/01/2019 05:00,05/01/2019 05:00,3.219,3.219,0
05/01/2019 06:00,05/01/2019 06:00,3.351,3.351,0
05/01/2019 07:00,05/01/2019 07:00,3.432,3.432,0
05/01/2019 08:00,05/01/2019 08:00,3.44,3.44,0
05/01/2019 09:00,05/01/2019 09:00,3.366,3.366,0
05/01/2019 10:00,05/01/2019 10:00,3.238,3.238,0
05/01/2019 11:00,05/01/2019 11:00,3.113,3.113,0
05/01/2019 12:00,05/01/2019 12:00,2.988,2.988,0
05/01/2019 13:00,05/01/2019 13:00,2.855,2.855,0
05/01/2019 14:00,05/01/2019 14:00,2.757,2.757,0
05/01/2019 15:00,05/01/2019 15:00,2.74,2.74,0
05/01/2019 16:00,05/01/2019 16:00,2.861,2.861,0
05/01/2019 17:00,05/01/2019 17:00,3.09,3.09,0
05/01/2019 18:00,05/01/2019 18:00,3.121,3.121,0
05/01/2019 19:00,05/01/2019 19:00,2.946,2.946,0
05/01/2019 20:00,05/01/2019 20:00,2.819,2.819,0
05/01/2019 21:00,05/01/2019 21:00,2.846,2.846,0
05/01/2019 22:00,05/01/2019 22:00,2.881,2.881,0
05/01/2019 23:00,05/01/2019 23:00,2.855,2.855,0
06/01/2019 00:00,06/01/2019 00:00,2.909,2.909,0
06/01/2019 01:00,06/01/2019 01:00,2.934,2.934,0
06/01/2019 02:00,06/01/2019 02:00,2.922,2.922,0
06/01/2019 03:00,06/01/2019 03:00,2.886,2.886,0
06/01/2019 04:00,06/01/2019 04:00,2.865,2.865,0
06/01/2019 05:00,06/01/2019 05:00,2.901,2.901,0
06/01/2019 06:00,06/01/2019 06:00,2.997,2.997,0
06/01/2019 07:00,06/01/2019 07:00,3.046,3.046,0
06/01/2019 08:00,06/01/2019 08:00,3.03,3.03,0
06/01/2019 09:00,06/01/2019 09:00,2.944,2.944,0
06/01/2019 10:00,06/01/2019 10:00,2.811,2.811,0
06/01/2019 11:00,06/01/2019 11:00,2.684,2.684,0
06/01/2019 12:00,06/01/2019 12:00,2.558,2.558,0
06/01/2019 13:00,06/01/2019 13:00,2.428,2.428,0
06/01/2019 14:00,06/01/2019 14:00,2.329,2.329,0
06/01/2019 15:00,06/01/2019 15:00,2.3,2.3,0
06/01/2019 16:00,06/01/2019 16:00,2.387,2.387,0
06/01/2019 17:00,06/01/2019 17:00,2.564,2.564,0
06/01/2019 18:00,06/01/2019 18:00,2.576,2.576,0
06/01/2019 19:00,06/01/2019 19:00,2.419,2.419,0
06/01/2019 20:00,06/01/2019 20:00,2.304,2.304,0
06/01/2019 21:00,06/01/2019 21:00,2.317,2.317,0
06/01/2019 22:00,06/01/2019 22:00,2.335,2.335,0
06/01/2019 23:00,06/01/2019 23:00,2.306,2.306,0
07/01/2019 00:00,07/01/2019 00:00,2.342,2.342,0
07/01/2019 01:00,07/01/2019 01:00,2.356,2.356,0
07/01/2019 02:00,07/01/2019 02:00,2.342,2.342,0
07/01/2019 03:00,07/01/2019 03:00,2.309,2.309,0
07/01/2019 04:00,07/01/2019 04:00,2.29,2.29,0
07/01/2019 05:00,07/01/2019 05:00,2.318,2.318,0
07/01/2019 06:00,07/01/2019 06:00,2.395,2.395,0
07/01/2019 07:00,07/01/2019 07:00,2.436,2.436,0
07/01/2019 08:00,07/01/2019 08:00,2.427,2.427,0
07/01/2019 09:00,07/01/2019 09:00,2.363,2.363,0
07/01/2019 10:00,07/01/2019 10:00,2.264,2.264,0
07/01/2019 11:00,07/01/2019 11:00,2.169,2.169,0
07/01/2019 12:00,07/01/2019 12:00,2.077,2.077,0
07/01/2019 13:00,07/01/2019 13:00,1.982,1.982,0
07/01/2019 14:00,07/01/2019 14:00,1.913,1.913,0
07/01/2019 15:00,07/01/2019 15:00,1.903,1.903,0
07/01/2019 16:00,07/01/2019 16:00,1.99,1.99,0
07/01/2019 17:00,07/01/2019 17:00,2.156,2.156,0
07/01/2019 18:00,07/01/2019 18:00,2.185,2.185,0
07/01/2019 19:00,07/01/2019 19:00,2.072,2.072,0
07/01/2019 20:00,07/01/2019 20:00,1.994,1.994,0
07/01/2019 21:00,07/01/2019 21:00,2.027,2.027,0
